week_start,Agency,incident_type,num_incidents,call_to_pickup,call_to_dispatch,call_to_arrival,avg_travel_time
2025-10-27,NYPD,1. Critical,1076,4.58,277.71,568.08,4.84
2025-10-27,NYPD (Non-CIP),Disorderly Person/Group/Noise,1927,4.15,818.18,3473.93,44.26
2025-10-27,NYPD (Non-CIP),Investigate/Possible Crime,1,3.0,589.0,595.0,0.1
2025-10-27,FDNY,2. Non-Structural Fires,154,6.79,100.42,364.11,4.39
2025-10-27,EMS,2. Non-Life Threatening Med Emergencies,11782,4.84,688.38,1506.8,13.64
2025-10-27,NYPD (Non-CIP),Other Crimes (In Progress),2911,4.57,665.98,1760.75,18.25
2025-10-27,FDNY,3. Medical Emergencies,3849,4.47,394.66,753.39,5.98
2025-10-20,FDNY,3. Medical Emergencies,3749,3.85,359.0,709.06,5.83
2025-10-20,NYPD (Non-CIP),Police Officer/Security Holding Suspect,113,3.89,490.76,1514.23,17.06
2025-10-20,NYPD (Non-CIP),Alarms,2198,3.67,657.52,3006.24,39.15
2025-10-20,NYPD,3. Non-Critical,818,3.81,586.17,1894.61,21.81
2025-10-20,NYPD (Non-CIP),Past Crime,4194,3.92,1170.04,6647.7,91.29
2025-10-20,NYPD,1. Critical,1016,4.02,278.93,596.87,5.3
2025-10-20,NYPD (Non-CIP),Other Crimes (In Progress),2875,3.7,636.82,1746.94,18.5
2025-10-20,NYPD (Non-CIP),Vehicle Accident,288,4.01,1079.37,4896.11,63.61
2025-10-20,NYPD (Non-CIP),Dispute,5407,3.76,1050.51,4132.75,51.37
2025-10-20,EMS,2. Non-Life Threatening Med Emergencies,12117,3.79,524.82,1296.34,12.86
2025-10-20,FDNY,2. Non-Structural Fires,155,3.51,102.43,370.97,4.48
2025-10-20,NYPD,2. Serious,2524,3.89,313.81,767.31,7.56
2025-10-20,EMS,1. Life Threating Med Emergencies,9835,3.87,215.13,702.22,8.12
2025-10-20,FDNY,1. Structural Fires,267,3.76,100.71,295.7,3.25
2025-10-20,NYPD (Non-CIP),Disorderly Person/Group/Noise,1860,3.81,752.17,3322.06,42.83
2025-10-20,NYPD (Non-CIP),Possible Crimes,6237,3.68,936.07,4752.55,63.61
2025-10-20,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,136,4.52,489.45,4534.9,67.42
2025-10-20,FDNY,4. Non-Medical Emergencies,2698,3.81,217.61,546.99,5.49
2025-10-13,NYPD (Non-CIP),Disorderly Person/Group/Noise,1868,4.07,739.47,3191.71,40.87
2025-10-13,NYPD,1. Critical,1053,3.94,278.0,557.29,4.65
2025-10-13,FDNY,3. Medical Emergencies,3943,4.17,344.35,691.99,5.79
2025-10-13,FDNY,2. Non-Structural Fires,141,4.09,94.7,382.54,4.8
2025-10-13,NYPD (Non-CIP),Dispute,5195,3.87,853.93,3578.05,45.4
2025-10-13,EMS,2. Non-Life Threatening Med Emergencies,11652,4.11,589.07,1385.27,13.27
2025-10-13,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,123,3.76,519.8,3707.59,53.13
2025-10-13,NYPD (Non-CIP),Vehicle Accident,294,4.5,984.81,4319.0,55.57
2025-10-13,NYPD (Non-CIP),Other Crimes (In Progress),3032,4.1,621.14,1617.55,16.61
2025-10-13,FDNY,4. Non-Medical Emergencies,3136,4.08,199.12,539.5,5.67
2025-10-13,FDNY,1. Structural Fires,248,4.46,94.48,293.74,3.32
2025-10-13,NYPD,2. Serious,2486,3.97,280.38,715.78,7.26
2025-10-13,NYPD (Non-CIP),Police Officer/Security Holding Suspect,101,4.24,521.98,1399.51,14.63
2025-10-13,NYPD,3. Non-Critical,827,4.36,551.23,1519.15,16.13
2025-10-13,EMS,1. Life Threating Med Emergencies,10053,4.18,228.98,726.61,8.29
2025-10-13,NYPD (Non-CIP),Past Crime,4110,4.06,1042.17,6093.87,84.2
2025-10-13,NYPD (Non-CIP),Alarms,2443,4.28,617.62,2895.78,37.97
2025-10-13,NYPD (Non-CIP),Possible Crimes,6209,4.01,843.51,4467.78,60.4
2025-10-06,NYPD (Non-CIP),Police Officer/Security Holding Suspect,111,3.81,488.52,1502.06,16.89
2025-10-06,NYPD (Non-CIP),Investigate/Possible Crime,1,2.0,1152.0,2401.0,20.82
2025-10-06,FDNY,1. Structural Fires,226,4.06,110.07,312.28,3.37
2025-10-06,FDNY,3. Medical Emergencies,3920,3.84,375.98,732.3,5.94
2025-10-06,NYPD,1. Critical,1073,3.77,264.04,563.77,5.0
2025-10-06,NYPD (Non-CIP),Alarms,2243,3.86,617.73,3012.21,39.91
2025-10-06,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,119,3.95,675.23,3681.87,50.11
2025-10-06,NYPD (Non-CIP),Vehicle Accident,288,3.89,890.59,4395.63,58.42
2025-10-06,NYPD,2. Serious,2530,3.74,274.35,690.73,6.94
2025-10-06,NYPD,3. Non-Critical,772,4.02,574.78,1673.55,18.31
2025-10-06,EMS,1. Life Threating Med Emergencies,9950,3.82,247.39,748.75,8.36
2025-10-06,NYPD (Non-CIP),Disorderly Person/Group/Noise,1927,3.69,695.67,3112.37,40.28
2025-10-06,NYPD (Non-CIP),Dispute,5256,3.67,928.27,3798.79,47.84
2025-10-06,FDNY,2. Non-Structural Fires,116,4.55,95.38,380.16,4.75
2025-10-06,NYPD (Non-CIP),Past Crime,4175,3.91,1115.72,6416.13,88.34
2025-10-06,NYPD (Non-CIP),Possible Crimes,6373,3.77,886.17,4600.94,61.91
2025-10-06,EMS,2. Non-Life Threatening Med Emergencies,11617,3.81,740.42,1556.72,13.6
2025-10-06,NYPD (Non-CIP),Other Crimes (In Progress),3002,3.81,604.32,1674.48,17.84
2025-10-06,FDNY,4. Non-Medical Emergencies,2621,3.75,223.58,560.25,5.61
2025-09-29,EMS,1. Life Threating Med Emergencies,10563,3.8,249.85,756.42,8.44
2025-09-29,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,146,4.18,528.26,3980.45,57.54
2025-09-29,FDNY,1. Structural Fires,235,4.15,99.94,298.91,3.32
2025-09-29,NYPD (Non-CIP),Investigate/Possible Crime,1,8.0,1064.0,4517.0,57.55
2025-09-29,NYPD (Non-CIP),Other Crimes (In Progress),3129,3.81,722.4,1879.48,19.28
2025-09-29,FDNY,4. Non-Medical Emergencies,2641,3.75,231.22,572.43,5.69
2025-09-29,NYPD (Non-CIP),Alarms,2079,3.7,702.62,3164.12,41.02
2025-09-29,NYPD,1. Critical,1206,3.6,264.51,561.64,4.95
2025-09-29,NYPD,3. Non-Critical,852,3.94,712.4,1998.61,21.44
2025-09-29,NYPD (Non-CIP),Disorderly Person/Group/Noise,1895,3.75,752.94,3298.01,42.42
2025-09-29,FDNY,2. Non-Structural Fires,196,3.91,531.52,827.89,4.94
2025-09-29,FDNY,3. Medical Emergencies,4249,3.76,373.58,723.42,5.83
2025-09-29,NYPD,2. Serious,2714,3.6,300.82,766.34,7.76
2025-09-29,NYPD (Non-CIP),Possible Crimes,6429,3.7,879.45,4638.79,62.66
2025-09-29,NYPD (Non-CIP),Dispute,5322,3.8,1106.67,3900.39,46.56
2025-09-29,NYPD (Non-CIP),Past Crime,4334,3.82,1365.54,6794.87,90.49
2025-09-29,NYPD (Non-CIP),Police Officer/Security Holding Suspect,103,4.07,613.56,1781.65,19.47
2025-09-29,NYPD (Non-CIP),Vehicle Accident,282,3.73,973.52,4291.87,55.31
2025-09-29,EMS,2. Non-Life Threatening Med Emergencies,12077,3.81,817.75,1667.12,14.16
2025-09-22,FDNY,2. Non-Structural Fires,116,3.75,99.03,378.71,4.66
2025-09-22,NYPD,1. Critical,1109,3.67,267.08,575.01,5.13
2025-09-22,NYPD,3. Non-Critical,801,3.82,683.91,1818.48,18.91
2025-09-22,NYPD (Non-CIP),Vehicle Accident,272,3.92,1143.33,4708.65,59.42
2025-09-22,NYPD,2. Serious,2760,3.91,330.47,815.05,8.08
2025-09-22,NYPD (Non-CIP),Disorderly Person/Group/Noise,1802,3.61,898.71,3516.18,43.62
2025-09-22,FDNY,1. Structural Fires,218,3.93,127.44,330.55,3.39
2025-09-22,FDNY,3. Medical Emergencies,4254,3.82,419.73,778.94,5.99
2025-09-22,NYPD (Non-CIP),Past Crime,4442,3.94,1475.18,7389.59,98.57
2025-09-22,NYPD (Non-CIP),Possible Crimes,6497,3.78,1016.16,4952.37,65.6
2025-09-22,FDNY,4. Non-Medical Emergencies,2779,3.74,253.96,595.62,5.69
2025-09-22,NYPD (Non-CIP),Police Officer/Security Holding Suspect,116,5.22,493.97,1693.4,19.99
2025-09-22,EMS,1. Life Threating Med Emergencies,10663,3.85,267.95,787.64,8.66
2025-09-22,NYPD (Non-CIP),Alarms,2016,3.91,734.41,3222.67,41.47
2025-09-22,NYPD (Non-CIP),Dispute,5366,3.69,1115.89,4227.96,51.87
2025-09-22,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,122,4.17,516.98,4233.55,61.94
2025-09-22,EMS,2. Non-Life Threatening Med Emergencies,12041,3.87,935.06,1838.51,15.06
2025-09-22,NYPD (Non-CIP),Other Crimes (In Progress),2970,3.73,812.03,1961.14,19.15
2025-09-15,NYPD (Non-CIP),Possible Crimes,6498,3.48,1079.12,4996.83,65.3
2025-09-15,NYPD,1. Critical,1100,3.62,273.71,566.02,4.87
2025-09-15,NYPD (Non-CIP),Disorderly Person/Group/Noise,1895,3.55,889.66,3712.1,47.04
2025-09-15,FDNY,1. Structural Fires,248,3.6,114.13,314.67,3.34
2025-09-15,EMS,1. Life Threating Med Emergencies,10822,3.68,287.17,813.93,8.78
2025-09-15,NYPD,2. Serious,2794,3.54,330.27,821.31,8.18
2025-09-15,NYPD (Non-CIP),Other Crimes (In Progress),3126,3.58,785.05,1941.82,19.28
2025-09-15,FDNY,2. Non-Structural Fires,162,3.47,99.89,406.05,5.1
2025-09-15,FDNY,3. Medical Emergencies,4184,3.7,443.54,802.3,5.98
2025-09-15,FDNY,4. Non-Medical Emergencies,2612,3.62,296.64,641.0,5.74
2025-09-15,NYPD (Non-CIP),Vehicle Accident,329,3.5,1201.61,5302.79,68.35
2025-09-15,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,152,3.39,572.47,4577.45,66.75
2025-09-15,NYPD (Non-CIP),Dispute,5273,3.62,1198.08,4245.51,50.79
2025-09-15,NYPD (Non-CIP),Police Officer/Security Holding Suspect,92,3.97,573.67,1440.55,14.45
2025-09-15,NYPD,3. Non-Critical,835,3.68,685.16,1816.58,18.86
2025-09-15,NYPD (Non-CIP),Past Crime,4415,3.66,1488.96,7545.9,100.95
2025-09-15,NYPD (Non-CIP),Alarms,1986,3.77,746.89,3352.33,43.42
2025-09-15,EMS,2. Non-Life Threatening Med Emergencies,12207,3.64,988.16,1897.06,15.15
2025-09-08,NYPD (Non-CIP),Past Crime,4425,3.71,1504.7,7544.44,100.66
2025-09-08,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,149,3.55,790.63,4907.4,68.61
2025-09-08,NYPD,3. Non-Critical,885,3.6,745.0,2027.69,21.38
2025-09-08,FDNY,1. Structural Fires,224,3.51,97.37,293.68,3.27
2025-09-08,NYPD,1. Critical,1132,3.56,297.75,615.34,5.29
2025-09-08,NYPD,2. Serious,2669,3.51,318.99,790.41,7.86
2025-09-08,EMS,1. Life Threating Med Emergencies,10406,3.58,245.14,746.55,8.36
2025-09-08,NYPD (Non-CIP),Disorderly Person/Group/Noise,1886,3.49,925.48,3748.06,47.04
2025-09-08,FDNY,4. Non-Medical Emergencies,2599,3.47,238.73,580.74,5.7
2025-09-08,NYPD (Non-CIP),Police Officer/Security Holding Suspect,94,3.7,707.0,1692.44,16.42
2025-09-08,NYPD (Non-CIP),Other Crimes (In Progress),3213,3.56,819.5,2060.95,20.69
2025-09-08,NYPD (Non-CIP),Alarms,1938,3.51,791.56,3688.54,48.28
2025-09-08,FDNY,3. Medical Emergencies,4035,3.58,382.75,739.85,5.95
2025-09-08,NYPD (Non-CIP),Vehicle Accident,321,3.4,1236.15,5417.07,69.68
2025-09-08,NYPD (Non-CIP),Dispute,5381,3.48,1317.51,4478.25,52.68
2025-09-08,FDNY,2. Non-Structural Fires,135,3.35,108.64,368.19,4.33
2025-09-08,EMS,2. Non-Life Threatening Med Emergencies,12409,3.54,788.21,1667.02,14.65
2025-09-08,NYPD (Non-CIP),Possible Crimes,6410,3.56,1143.28,5116.22,66.22
2025-09-01,EMS,1. Life Threating Med Emergencies,10025,3.86,237.47,723.55,8.1
2025-09-01,NYPD (Non-CIP),Possible Crimes,6518,3.6,1127.69,4933.57,63.43
2025-09-01,NYPD (Non-CIP),Police Officer/Security Holding Suspect,121,3.64,599.32,1767.05,19.46
2025-09-01,NYPD (Non-CIP),Other Crimes (In Progress),3104,3.94,800.73,2028.43,20.46
2025-09-01,NYPD (Non-CIP),Dispute,5380,3.7,1330.13,4584.77,54.24
2025-09-01,NYPD (Non-CIP),Past Crime,4389,3.87,1502.32,7681.15,102.98
2025-09-01,FDNY,2. Non-Structural Fires,185,4.68,113.03,411.85,4.98
2025-09-01,NYPD,2. Serious,2691,3.69,347.46,850.75,8.39
2025-09-01,FDNY,1. Structural Fires,246,3.47,102.24,302.63,3.34
2025-09-01,FDNY,4. Non-Medical Emergencies,2755,3.75,239.08,580.21,5.69
2025-09-01,NYPD (Non-CIP),Alarms,1991,3.89,837.14,3327.5,41.51
2025-09-01,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,125,3.63,669.86,3830.36,52.67
2025-09-01,NYPD (Non-CIP),Vehicle Accident,309,3.84,1402.28,5787.6,73.09
2025-09-01,NYPD,1. Critical,1132,3.63,288.15,588.34,5.0
2025-09-01,FDNY,3. Medical Emergencies,3934,3.8,402.58,757.36,5.91
2025-09-01,NYPD (Non-CIP),Disorderly Person/Group/Noise,1707,3.7,958.19,3605.07,44.11
2025-09-01,NYPD,3. Non-Critical,829,3.8,816.9,2061.93,20.75
2025-09-01,EMS,2. Non-Life Threatening Med Emergencies,12102,3.76,661.73,1473.68,13.53
2025-08-25,NYPD (Non-CIP),Police Officer/Security Holding Suspect,118,3.57,702.0,1839.22,18.95
2025-08-25,EMS,2. Non-Life Threatening Med Emergencies,12249,3.52,502.99,1263.26,12.67
2025-08-25,FDNY,3. Medical Emergencies,3705,3.51,390.46,734.05,5.73
2025-08-25,NYPD (Non-CIP),Other Crimes (In Progress),3124,3.53,861.34,1939.85,17.98
2025-08-25,NYPD (Non-CIP),Past Crime,4491,3.59,1507.43,7308.29,96.68
2025-08-25,NYPD (Non-CIP),Possible Crimes,6472,3.56,1061.43,4855.78,63.24
2025-08-25,EMS,1. Life Threating Med Emergencies,9673,3.57,211.6,664.06,7.54
2025-08-25,FDNY,2. Non-Structural Fires,208,3.42,112.3,403.1,4.85
2025-08-25,FDNY,4. Non-Medical Emergencies,2601,3.48,209.91,542.77,5.55
2025-08-25,NYPD,2. Serious,2594,3.46,327.67,799.01,7.86
2025-08-25,NYPD (Non-CIP),Vehicle Accident,255,3.89,1342.53,4749.51,56.78
2025-08-25,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,150,4.24,570.35,3776.99,53.44
2025-08-25,NYPD,1. Critical,1099,3.45,287.84,559.74,4.53
2025-08-25,NYPD (Non-CIP),Disorderly Person/Group/Noise,1777,3.6,924.6,3692.72,46.14
2025-08-25,NYPD (Non-CIP),Dispute,5302,3.51,1333.63,4236.23,48.38
2025-08-25,FDNY,1. Structural Fires,243,3.73,96.28,300.03,3.4
2025-08-25,NYPD (Non-CIP),Alarms,2122,3.54,774.24,3254.89,41.34
2025-08-25,NYPD,3. Non-Critical,914,3.48,712.05,1901.75,19.83
2025-08-18,NYPD (Non-CIP),Disorderly Person/Group/Noise,1782,3.49,831.99,3572.59,45.68
2025-08-18,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,135,3.71,484.11,4429.5,65.76
2025-08-18,FDNY,3. Medical Emergencies,3728,3.4,350.86,697.9,5.78
2025-08-18,EMS,2. Non-Life Threatening Med Emergencies,11957,3.4,506.33,1264.13,12.63
2025-08-18,FDNY,4. Non-Medical Emergencies,2655,3.38,218.43,558.55,5.67
2025-08-18,EMS,1. Life Threating Med Emergencies,9734,3.4,209.61,673.07,7.72
2025-08-18,FDNY,2. Non-Structural Fires,155,3.23,107.68,371.76,4.4
2025-08-18,NYPD,1. Critical,1146,3.38,274.32,600.54,5.44
2025-08-18,NYPD (Non-CIP),Possible Crimes,6303,3.41,1017.8,4885.31,64.46
2025-08-18,NYPD (Non-CIP),Vehicle Accident,262,3.2,1492.73,5265.74,62.88
2025-08-18,NYPD (Non-CIP),Past Crime,4348,3.45,1423.78,7072.31,94.14
2025-08-18,FDNY,1. Structural Fires,197,3.35,101.24,303.44,3.37
2025-08-18,NYPD,3. Non-Critical,821,3.39,696.42,1866.61,19.5
2025-08-18,NYPD (Non-CIP),Alarms,2319,3.36,713.49,3131.9,40.31
2025-08-18,NYPD (Non-CIP),Other Crimes (In Progress),2914,3.43,823.71,1947.19,18.72
2025-08-18,NYPD (Non-CIP),Dispute,5113,3.39,1264.56,4295.63,50.52
2025-08-18,NYPD (Non-CIP),Police Officer/Security Holding Suspect,101,3.22,525.39,1642.81,18.62
2025-08-18,NYPD,2. Serious,2651,3.38,313.16,797.34,8.07
2025-08-11,FDNY,3. Medical Emergencies,4061,4.54,464.76,815.91,5.85
2025-08-11,FDNY,1. Structural Fires,229,4.29,110.41,316.92,3.44
2025-08-11,FDNY,2. Non-Structural Fires,188,3.76,109.49,394.39,4.75
2025-08-11,NYPD (Non-CIP),Vehicle Accident,283,4.56,1614.22,5206.86,59.88
2025-08-11,FDNY,4. Non-Medical Emergencies,2943,4.46,296.0,637.39,5.69
2025-08-11,EMS,1. Life Threating Med Emergencies,10560,4.41,292.61,778.4,8.1
2025-08-11,NYPD (Non-CIP),Possible Crimes,6347,4.23,1243.97,5204.69,66.01
2025-08-11,NYPD,2. Serious,2753,4.29,341.02,841.84,8.35
2025-08-11,NYPD (Non-CIP),Other Crimes (In Progress),3029,29.71,966.01,2140.0,19.57
2025-08-11,NYPD (Non-CIP),Disorderly Person/Group/Noise,1708,4.25,1082.13,4070.94,49.81
2025-08-11,NYPD (Non-CIP),Alarms,2272,4.19,938.63,3491.57,42.55
2025-08-11,NYPD,3. Non-Critical,878,4.31,875.48,2169.71,21.57
2025-08-11,EMS,2. Non-Life Threatening Med Emergencies,12417,4.38,857.71,1706.97,14.15
2025-08-11,NYPD (Non-CIP),Police Officer/Security Holding Suspect,107,3.65,479.05,1279.34,13.34
2025-08-11,NYPD (Non-CIP),Past Crime,4359,4.38,1702.95,7546.93,97.4
2025-08-11,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,119,4.42,719.95,4228.11,58.47
2025-08-11,NYPD (Non-CIP),Dispute,5268,4.17,1422.31,4557.67,52.26
2025-08-11,NYPD,1. Critical,1154,4.39,305.29,595.11,4.83
2025-08-04,NYPD (Non-CIP),Past Crime,4446,3.46,1460.1,7283.95,97.06
2025-08-04,NYPD (Non-CIP),Other Crimes (In Progress),2949,3.5,769.66,1912.2,19.04
2025-08-04,NYPD (Non-CIP),Alarms,2165,3.48,769.84,3460.63,44.85
2025-08-04,EMS,1. Life Threating Med Emergencies,10437,3.43,227.19,691.17,7.73
2025-08-04,NYPD (Non-CIP),Disorderly Person/Group/Noise,1829,3.51,967.7,3890.77,48.72
2025-08-04,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,132,4.1,687.54,4433.83,62.44
